tweet_id,timestamp,favorite_count,retweet_count,text,name,dog_stage,rating,image_url,prediction_1,confidence_percentages_1,dog_or_not_1,prediction_2,confidence_percentages_2,dog_or_not_2,prediction_3,confidence_percentages_3,dog_or_not_3,image_order_number,source,expanded_urls,lang
666020888022790149,2015-11-15 22:32:08,2494,488,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,None,None,0.8,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,Welsh Springer Spaniel,46,True,Collie,15,True,Shetland Sheepdog,6,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666020888022790149/photo/1,en
666029285002620928,2015-11-15 23:05:30,125,46,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,None,None,0.7,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,Redbone,50,True,Miniature Pinscher,7,True,Rhodesian Ridgeback,7,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666029285002620928/photo/1,en
666033412701032449,2015-11-15 23:21:54,121,43,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,None,None,0.9,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,German Shepherd,59,True,Malinois,13,True,Bloodhound,11,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666033412701032449/photo/1,en
666044226329800704,2015-11-16 00:04:52,286,135,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,None,None,0.6,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,Rhodesian Ridgeback,40,True,Redbone,36,True,Miniature Pinscher,22,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666044226329800704/photo/1,en
666049248165822465,2015-11-16 00:24:50,103,41,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,None,None,0.5,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,Miniature Pinscher,56,True,Rottweiler,24,True,Doberman,15,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666049248165822465/photo/1,en
666050758794694657,2015-11-16 00:30:50,129,56,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,None,None,1.0,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,Bernese Mountain Dog,65,True,English Springer,26,True,Greater Swiss Mountain Dog,1,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666050758794694657/photo/1,en
666051853826850816,2015-11-16 00:35:11,1180,817,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,None,None,0.2,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,Box Turtle,93,False,Mud Turtle,4,False,Terrapin,1,False,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666051853826850816/photo/1,en
666055525042405380,2015-11-16 00:49:46,421,229,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,None,None,1.0,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,Chow,69,True,Tibetan Mastiff,5,True,Fur Coat,5,False,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666055525042405380/photo/1,en
666057090499244032,2015-11-16 00:55:59,282,134,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,None,None,0.9,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,Shopping Cart,96,False,Shopping Basket,1,False,Golden Retriever,0,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666057090499244032/photo/1,en
666058600524156928,2015-11-16 01:01:59,108,56,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,None,None,0.8,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,Miniature Poodle,20,True,Komondor,19,True,Soft-Coated Wheaten Terrier,8,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666058600524156928/photo/1,en
666063827256086533,2015-11-16 01:22:45,457,206,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,None,None,1.0,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,Golden Retriever,77,True,Tibetan Mastiff,9,True,Labrador Retriever,7,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666063827256086533/photo/1,en
666071193221509120,2015-11-16 01:52:02,140,55,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,None,None,0.9,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,Gordon Setter,50,True,Yorkshire Terrier,17,True,Pekinese,10,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666071193221509120/photo/1,en
666073100786774016,2015-11-16 01:59:36,311,154,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,None,None,1.0,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,Walker Hound,26,True,English Foxhound,17,True,Ibizan Hound,9,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666073100786774016/photo/1,en
666082916733198337,2015-11-16 02:38:37,109,43,Here we have a well-established sunblockerspaniel. Lost his other flip-flop. 6/10 not very waterproof https://t.co/3RU6x0vHB7,None,None,0.6,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,Pug,48,True,Bull Mastiff,40,True,French Bulldog,4,True,1,Twitter for iPhone,https://twitter.com/dog_rates/status/666082916733198337/photo/1,en
